date,BTC-USD,SPY
2024-01-27,42120.0547,
2024-01-28,42035.5938,
2024-01-29,43288.2461,475.7027
2024-01-30,42952.6094,475.3348
2024-01-31,42582.6055,467.5785
2024-02-01,43075.7734,473.6983
2024-02-02,43185.8594,478.6851
2024-02-03,42992.25,
2024-02-04,42583.582,
2024-02-05,42658.668,476.9421
2024-02-06,43084.6719,478.3268
2024-02-07,44318.2227,482.3163
2024-02-08,45301.5664,482.5293
2024-02-09,47147.1992,485.318
2024-02-10,47771.2773,
2024-02-11,48293.918,
2024-02-12,49958.2227,485.105
2024-02-13,49742.4414,478.4236
2024-02-14,51826.6953,482.7714
2024-02-15,51938.5547,486.1024
2024-02-16,52160.2031,483.6816
2024-02-17,51662.9961,
2024-02-18,52122.5469,
2024-02-19,51779.1445,
2024-02-20,52284.875,481.0188
2024-02-21,51839.1797,481.4544
2024-02-22,51304.9727,491.4184
2024-02-23,50731.9492,491.7574
2024-02-24,51571.1016,
2024-02-25,51733.2383,
2024-02-26,54522.4023,489.9562
2024-02-27,57085.3711,490.8664
2024-02-28,62504.7891,490.2177
2024-02-29,61198.3828,491.98
2024-03-01,62440.6328,496.5989
2024-03-02,62029.8477,
2024-03-03,63167.3711,
2024-03-04,68330.4141,496.0663
2024-03-05,63801.1992,491.1086
2024-03-06,66106.8047,493.5971
2024-03-07,66925.4844,498.4968
2024-03-08,68300.0938,495.5047
2024-03-09,68498.8828,
2024-03-10,69019.7891,
2024-03-11,72123.9062,495.0786
2024-03-12,71481.2891,500.4044
2024-03-13,73083.5,499.62
2024-03-14,71396.5938,498.6323
2024-03-15,69403.7734,495.2084
2024-03-16,65315.1172,
2024-03-17,68390.625,
2024-03-18,67548.5938,498.1516
2024-03-19,61912.7734,500.9198
2024-03-20,67913.6719,505.553
2024-03-21,65491.3906,507.2236
2024-03-22,63778.7617,506.2621
2024-03-23,64062.2031,
2024-03-24,67234.1719,
2024-03-25,69958.8125,504.8634
2024-03-26,69987.8359,503.9309
2024-03-27,69455.3438,508.1657
2024-03-28,70744.9531,508.0688
2024-03-29,69892.8281,
2024-03-30,69645.3047,
2024-03-31,71333.6484,
2024-04-01,69702.1484,507.1848
2024-04-02,65446.9727,503.96
2024-04-03,65980.8125,504.5137
2024-04-04,68508.8438,498.3555
2024-04-05,67837.6406,503.5618
2024-04-06,68896.1094,
2024-04-07,69362.5547,
2024-04-08,71631.3594,503.8434
